,,Notes,Aisa Minh,Masao Sy,Leta Narvaez,Victoria Swift,Solomon Renfield,Justyn Attlee,Grizzly Saeki,Akemi Kobayashi,Sassoon,Ezel Sinai,Arvin Sanjrani,Knox Mandaba
,MissionFinal_StartResponse,Incoming power pylons,"""Pylons just appeared on my sensors. They're landing."",""Note those Pylons. We need to do our best to preserve them.""","""The pylons are here, we must keep them intact at all costs."",""If these pylons break, the timeline goes with them. Stay focused!.""","""Pylons coming in, take positions."", ""The pylons just launched, watch out.""","""Pylons incoming. The entire timeline rests on these, soldiers."",""Pylons have touched down. Note their positions and act accordingly.""","""Remote pylons, our best technology for our best effort."",""Protect these pylons. It would be a shame to lose the technology... and the timeline!""","""Pylons, great. So now we have to protect those as well."", ""Somehow, even in the middle of the ocean they manage to give us another objective.""","""Those pylons are all we've got. Keep them safe."",""We're defenseless without those pylons. Prioritize their safety.""","""Pylons are touching down. Make sure they remain undamaged."",""These structures don't carry civilians. They carry the fate of this planet.""","""A lifeline to last hope in trying times."",""Ensure our sacrifice for their safety.""","""These pylons are lifelines for us, in several senses."",""Pylons just touched down. Keep them functioning.""","""Don't relax yet. Pylons are landing, keep them intact."",""Ready? The pylons are arriving, keep them safe.""","""Pylons are coming down for a rough landing!"",""Watch where the pylons land, we'll need to keep them safe."""
,MissionFinal_FallStart,Plays at the start of the ground falling in the final mission,,,,,,,,,,,,
,MissionFinal_FallResponse,Plays once the ground shakes,"""W-woah.. This is worse than breaching!"", ""My sensors are telling me... no, nevermind, I don't need them to know we're in free-fall.""","""Ready or not..."", ""Woah.. right into the hive, huh?""","""Taking me down, huh? You're coming with me!"", ""We're going down, pilots. Hold tight!""","""We are entering the hive, brace yourselves!"", ""The second stage of the battle is starting, ready your mechs!""","""Seismic activity coming from the hive below. Brace yourselves!"",""The ground is crumbling, we're going to drop!""","""Oh man, the ground is crumbling!"",""Buckle up, we're going down!""","""The ground is caving in, brace yourselves for descent."",""The ground is crumbling, we're going down.""","""I'm coming for you, Vek scum."",""Swallow me whole, so I may destroy you from the inside.""","""A final confrontation waits below."",""The belly of the beast invites us now.""","""We're not going down without a fight."",""Didn't think we'd go down in a literal sense, but here we are...""","""What th-.."",""We're going straight down, brace yourselves!""","""Get ready for an emergency landing!"",""Uh, flight control? Taking an unexpected descent!"""
,MissionFinal_Pylons,,,,,,,,,,,,,
,MissionFinal_Bomb,What's the plan?,"""This place is massive, if the walls are anything to go by."",""I already thought it was hot up on the surface, now it's hot and there's a massive godforsaken hive surrounding us.""","""We couldn't take this hive down with a dozen mechs... Mind giving us a hand?""","""I'd take this hive apart myself, but I'm not gonna have time for that."", ""We'll need something big to take down this hive.""","""This is bigger than usual - we will require a formidable explosive to level this hive."",""If we had the equipment, we would be able to end the war right now.""","""The bomb will make short work of this hive, assuming I've finished it by now."", ""A terrible sight. I'll be glad to be rid of it, with my own masterwork.""","""Vek above me. Vek behind me. Vek in front of me. This is a living nightmare."", ""This hive. This entire island. You want us to destroy it?""","""Trapped, surrounded, outnumbered. A perfect oppurtunity to end this."", ""If you use us as bait here, we could wipe out the Vek entirely.""","""This hive is definitely larger than usual, but we should be able to wipe it out all the same."",""Vek, everywhere. We need to act fast before they converge on us.""","""A beast this size, our powers seem in vain."",""All hope seems lost facing this great evil.""","""A living nightmare. Hopefully, one that we'll wake ourselves up from."",""Get ready, it's time to knock these Vek out once and for all.""","""This hive... Incredible, to say the least."",""I didn't imagine there'd be this many Vek. How are we going to do this?""","""We couldn't take this hive down with all of Archive's machinery."",""Maybe Old Earth could take this hive on... but I doubt we could, alone."""
,MissionFinal_BombResponse,Before dropping the bomb,,,,,,,,,,,,
,MissionFinal_CaveStart,Plays at the start of the final cave section (after MissionFinal_BombResponse),"""This bomb is this timeline's future. Guard it with everything you've got, #squad."", ""Guard this bomb well. If I notice any sign of negligence, I'll make sure you're martialed myself.""","""Defend this bomb with your life, and I'll defend yours with mine."", ""#squad, if the bomb goes, this timeline goes too. Stay strong.""","""Stay here and make sure this bomb explodes. We cannot afford to lose this!"",""Get ready, #squad. This is our last stand, protect the bomb!""","""Do not allow the Vek to attack the bomb. This is our last chance."",""If the Vek destroy that bomb, they've won the war.""","""Do try to keep my bomb intact! I'm sure I've put a lot of work into it."",""The bomb has come out perfectly. Do not allow it to be tarnished!""","""A bomb.. I really hope you let us breach before it explodes."", ""A bomb.. This isn't a suicide mission, is it?""","""This timeline depends on the bomb detonating. Do not let the Vek destroy it."",""Protect the bomb at any cost, even if it means this mission your last""","""#squad, this is our last stand. Keep the bomb secure."",""The bomb will be compromised if the Vek attack it enough. Protect it no matter the cost.""","""Surrounded by darkness, we herald light."",""A last chance for our salvation: Rapture.""","""The bomb is of utmost importance, don't let it get destroyed."",""That bomb determines the fate of our timeline. Ready yourselves to protect it, #squad.""","""Stay strong, #squad. This is it. Protect the bomb."",""Keep the Renfield bomb safe, and it'll save this timeline.""","""Ready to protect the bomb? You'd better be."",""Bomb stays intact, timeline's saved. Simple as that."""
*,MissionFinal_BombDestroyed,"When the bomb is destroyed, another one is dropped and the battle length is extended.",,,,,,,,,,,,
,MissionFinal_BombArmed,,"""That feeling.. It's the bomb, isn't it?""","""I'm reading tachyon emissions. Could this be it?"", ""The Renfield bomb, it's going. Is it finally over?""","""The bomb's about to go. We've done it.""","""The bomb is about to detonate!""","""The tachyon charge is nearly finished. That means it's about to explode!""","""The bomb's about to go off. Please let it work!""","""The explosive is primed. Prepare yourselves to breach.""","""It's over, Vek. We've won.""","""A blinding light leaves this hell cleft in twain.""","""Finally, our struggle concludes. Get ready."",""The bomb... Is our struggle finally over?""","""The bomb is heating up, looks like it's time to go!"",""The bomb.. It's activating!""","""The bomb looks like it's ready!"",""I think we've done it, the bomb is activating!"""
,,,,,,,,,,,,,,
,PodIncoming,Pod is about to fall,"""Sensors are telling me a Time Pod's coming down hot!"",  ""That noise... Oh, a Time Pod!"", ""Detecting a mass coming from space, it's probably a Time Pod.""","""Time Pod coming in hot."", ""Something's on my sensors... A Time Pod."", ""That's a Time Pod, coming down on our location.""","""A Time Pod's dropping down!"", ""Time Pod coming from the sky!"", ""There's a Pod dropping!""","""Breach detected. Time Pod is dropping on our location."", ""A Time Pod is about to land in our region."", ""A Time Pod is coming, prepare yourselves.""","""A Time Pod just came up. Tracking the flight pattern."", ""Some sort of localized breach? Ah, a Time Pod!"", ""Detecting tachyons.. Did we breach? No, it's a Time Pod!"",""Time Pod incoming, I'll relay the coordinates!""","""Something's coming in from orbit, watch out! Oh, a Time Pod."", ""Time Pod coming in hot!"", ""Check your sensors, I think a Time Pod's about to land!""","""Time Pod signature detected."",""Time Pod on our location."",""Time Pod coming down."",""Time Pod landing in our region.""","""Detecting a Time Pod, someone keep track of it."",""Pay attention, a Time Pod's coming down on our region."",""Incoming Time Pod!"",""A Time Pod just breached!""","""The final breath of a timeline long gone."",""REWRITE."",""A Pod from up above with lovely fruits.""","""A gift from the stars... right on our location!"",""Detecting a Time Pod. Watch out, pilots."",""Hold on, something's come up on my sensors. A Time Pod!""","""Check your sensors, I believe a Time Pod is approaching!"",""Check the skies, I just detected a Time Pod."",""Watch out, Time Pod coming in.""","""Time Pod, coming in real hot!"",""Watch your six, there's a Pod landing!"",""See that on your sensor? I think it's a Time Pod!"""
,PodResponse,Response to above,"""That tech is important, but civilian lives take priority."", ""Make your way to the pod if possible, but don't let that distract you."", ""Whatever's in that Pod'll be safe as long as the Vek don't step on it. Only secure the Pod if you have the time.""","""I hate to say this, but whatever's in that Pod might be worth the lives lost securing it."", ""Someone might be in that Pod. We have our orders, but I don't think we should just leave it there."", ""We should try to secure that Pod, if it's convenient."",","""There could be something useful in there, but don't you dare endanger anyone for it."", ""We should maneuver over to that pod if we have the time, but if we don't..."", ""We need to prioritize our mission, but that doesn't mean the pod isn't important either."", ""We can secure the pod after, if it isn't destroyed.""","""That Pod is vital to our effort, secure it at all costs."",  ""The Time Pod is of utmost importance, make sure it is secured."", ""Ensure we retrieve the Time Pod, it contains powerful cargo."", ""That Pod may contain a powerful weapon or a capable pilot - We must secure it."", ""That Pod contains the remains of another timeline. They may have left some valuable cargo.""","""There's something vital in that Pod, we must retrieve it!"", Trust me on this, whatever's in there will be worth our while."", ""The contents of that Pod will likely be vital to our war effort. Retrieve it at haste, or keep it safe!""","""That Pod is important, but don't risk your life to secure it."",  ""The Pod probably has something important in it. Snag it if you have the time."", ""Keep the Pod safe, but don't compromise anything else for it."", ""We'd better hope a Vek doesn't step on that thing.""","""Secure that Pod quickly."",""Pods like those contain vital equipment."",""Keep that Pod safe."",""That Pod is extremely important. Preserve it.""","""We must keep that Pod safe. It's contents are more valuable to our effort than this entire region."",""Secure that Pod quickly, it'll be a major loss if it's compromised."",""WRITE""","""That Pod is important, but don't risk your life to secure it."",  ""The Pod probably has something important in it. Snag it if you have the time."", ""Keep the Pod safe, but don't compromise anything else for it."", ""We'd better hope a Vek doesn't step on that thing.""","""The entire remnants of a single timeline in a small capsule. Ensure it lasts the battle."",""Do not allow that Pod to be destroyed, it's of utmost importance."",""Our heaven-sent gift takes priority. Secure it or keep it safe.""","""If you see an opening, grab that Pod. It's important."",""Don't let that Pod get destroyed."",""That Pod needs to stay intact until we can secure it.""","""Heh, could've had a cleaner landing.. Oh, yeah, make sure it stays safe."",""What tech could that thing have in it? Let's make sure we can find out."",""I bet that one has something valuable in it. Keep it safe."""
,PodCollected_Self,Pod collected (by the pilot talking),"""I've retrieved the Pod."", ""Pod's loaded in my cargo bay."",""Pod secured, get a move on.""","""The Pod's secure, keep going."", ""I've retrieved the Pod."", ""I've got the Pod, now focus on the battle.""","""I've got the Pod, now get moving!"", ""Pod secured, it better be worth it."", ""Pod's secure in my cargo bay, don't worry about it."", ""I've secured the Pod, focus on the objective now.""","""The Pod has been acquired, get back to the objective."", ""Focus, I've retrieved the Pod."",""I have the Pod, return to the battle.""","""I've secured the Pod! We can explore it later."", ""As much as I'd like to study it, it must wait until the battle concludes."", ""Get back to the objective, the Pod is secure!""","""I've got the Pod.. It's safe, as long as I'm alive."", ""I hope the Vek don't target me for this."", ""Pod's on me!""","""I've secured the Pod."",""Pod is in my cargo bay."",""Pod secured, advance on the Vek.""","""Pod's in my custody."",""The Pod is secure, refocus your efforts."",""I've retrieved the Pod, it's time to advance."",""Pod's no longer a concern.""","""I've got the Pod.. It's safe, as long as I'm alive."", ""I hope the Vek don't target me for this."", ""Pod's on me!""","""We won't have to worry about the Pod any longer."",""Worry not, I've retrieved the Pod."",""The Pod's secured in my mech.""","""Grabbed the Pod. Let's get going."",""Back to our orders, now that I've got the Pod."",""Pod won't be threatened now.""","""Picked up the Pod, it's safe with me."",""Don't worry about the Pod, I've got it!"",""Nice, retrieved the Pod!"""
,PodDestroyed_Obs,"Pod destroyed (by anyone, including Vek, except the speaker)","""Those were the remnants of an entire timeline. Shame."", ""It's a loss however you put it, but we can make the Vek pay for it."", ""Maybe we could have gotten it, but there's a cost to keeping these people safe.""","""We may have just let someone die.."", ""I don't think we'll be able to salvage that."", ""We'll never know what we just lost.."",""Too late to secure that Pod now..""","""The Time Pod was destroyed... Damn!"", ""Pod's gone, no going back for it now."", ""The Pod just got crushed.."", ""You'll pay for that Pod with your life, Vek!""","""The Pod has been destroyed, we won't be able to recover its contents."", ""We won't be able to retrieve that Pod now..."", ""The Pod was compromised. Don't let this happen next time.""","""The Pod! Damn, we've lost it."", ""The technology in that Pod.. put to waste."", ""There's no point in fretting over that Pod, but to think of what could have been in there...""","""Whatever was in there, gone now. Maybe there was a pilot in there.."", ""We lost the Pod, but if it means we're safer for it.."", ""No way we're getting whatever was inside there now.""","""Pod was compromised. Don't let that happen next time."",""We've failed to secure the Pod."",""We didn't secure the Pod soon enough."",""Pod's contents are compromised.""","""Unacceptable. Get your priorities in line, soldiers!"",""We cannot afford to lose another Pod."",""Redouble your efforts, we'll get what we can out of this mission."",""The Pod's been lost. Unacceptable.""","""An entire world's progress put to waste.""","""We'll never know what was in that Pod."",""We may have lost a life with that Pod... or our entire timeline."",""Our timeline may be doomed to the same fate of that Pod's origin, with its loss.""","""I sincerely hope nobody was in there."",""Whatever that timeline had to offer us, it's gone now."",""We didn't secure that Pod soon enough..""","""Shit, not the Pod!"",""That was important. Was. Not important anymore."",""I really hope nobody was in there, that's not a good way to go."""
,Secret_DeviceSeen_Mountain,Secret object was inside a mountain   Only needs 1 line per Pilot,"""My sensors are giving me odd readings. Something may be buried underneath that mountain."", ""I believe my readings are telling me there's something under that mountain. Maybe I'm wrong, but we should check if possible.""","""My sensors are picking up something from that mountain. Should we uncover it?"", ""There's something under that mountain, what could it be?""","""Scans show something under that mountain. We should investigate.""","""Under that mountain. My scanners are detecting something foreign.""","""Something is concealed within that mountain. Yes, concealed. Something... artificial.""","""Detecting.. something from that mountain. Maybe we should leave it alone.""","""Detected a foreign mass underneath that mountain. It may be worth our time to uncover it.""","""Getting unusual readings from that land mass. Is there something hidden underneath?""","""Detecting.. something from that mountain. Maybe we should leave it alone.""","""I suspect something's concealed under that mountain.""","""I've got a hunch that there's something under that mountain."",""That mountain doesn't look entirely natural...""","""That mountain looks irregular. I think it's worth investigating."""
,Secret_DeviceSeen_Ice,Secret object was under water after destroying ice  Only needs 1 line per Pilot,"""Sensors are telling me there's something underneath that ice. Is.. is that right?""","""I'm picking up something frozen in that ice. I can't tell what it is.""","""My sensors tell me something's frozen in that ice. Have any idea what that might be?""","""Scanners are telling me there's a foreign device under that ice.""","""Something foreign is within that ice. Artificial, if I'm correct.""","""I've got scans of something under that ice.. Someone want to check it out?""","""I'm detecting something in that ice. We may want to investigate that.""","""Someone should investigate that ice - it appears to contain something within.""","""I've got scans of something under that ice.. Someone want to check it out?""","""Scanners indicate that chunk of ice will be worth investigating.""","""Something's frozen in that ice. We should investigate it."",""What could be under that ice?""","""Call it a gut feeling, but I'm willing to bet something's under that ice."""
,Secret_DeviceUsed,Only needs 1 line per Pilot,"""This is unlike anything I've come across before. I- uh..""","""This is a signal of sorts. A beacon. I may have activated it.""","""Whatever it was, I just activated it. Watch your six.""","""I've activated the device. Stay on your guard.""","""This is a transmitter, but.. I've never seen technology like this.""","""Some kind of signal? Oh, back up!""","""This is some sort of.. transmitter?""","""A communication device?  Watch your six, this might be bad.""","""Some kind of signal? Uh oh, I activated it. Back up!""","""This device is emitting a signal. I suspect something very interesting is about to happen.""","""This looks like a beacon. I... activated it.""","""Hm. Should I activate it? Well, too late, it's done."""
,Secret_Arriving,Only needs 1 line per Pilot,"""Sensors are telling me a Time Po- wait, I don't think that's a Time Pod.""","""It... oh, something's coming down!""","""...What the?""","""That's not a Time Pod. Back up, there may be something dangerous inside.""","""This must be due to that transmitter. Amazing!""","""That's.. a Pod. Did the transmitter activate it?""","""Transmitter likely called that down. Ready yourselves.""","""...Unlike anything I've seen before. Kern will want to see this.""","""That's.. a Pod. Did the transmitter activate it?""","""A... not a Time Pod. Something even more arcane.""","""Check the sky. There's a... pod.. coming down?","""Oh hey, it's the beacon-activation signal, right on cue."""
,Emerge_Detected,Emerges are queued.,"""More Vek coming from below, I can feel it through my mech."", ""Those vibrations... There's more Vek, coming from below."",""Some Vek are coming up, let's try and stop that from happening.""","""There's more Vek coming, hold the line."", ""They just keep coming... but we mustn't falter now."",","""More Vek surfacing, try to pin them down if you can."", ""You're not getting up here if I have anything to say about it, Vek."", ""We've got Vek surfacing, act accordingly."", ""Sensors are showing more Vek beneath us. Ready?""","""Vek reinforcements are about to appear, block them off."", ""Vek are closing in our our position.""","""More Vek are approaching from below."", ""Sensors indicate Vek are converging on our position!"",""Vek are moving towards the surface.""","""More Vek are arriving. How are we gonna handle these?"", ""Even more Vek? When will they stop!?"", ""Don't relax yet, we've got more Vek in our direction!""","""More hostiles converging on our position."",""Stop these Vek from surfacing."",""Seismic activity, more Vek incoming."",""Enemy reinforcement approaching.""","""Enemy reinforcements are mobilizing. Prepare to intercept!"",""If we don't contain those reinforcements, the situation may escalate out of our control."",""Stop those Vek from surfacing, or deal with them swiftly."",""More enemies are arriving, as anticipated. Deal with them.""","""More Vek are arriving. How are we gonna handle these?"", ""Even more Vek? When will they stop!?"", ""Don't relax yet, we've got more Vek in our direction!""","""We've got Vek closing in, ready yourselves."",""See if you can keep those Vek from surfacing."",""Prepare yourselves for the incoming Vek.""","""Ready for another wave? We've got more Vek incoming."",""Another bunch of Vek are approaching!"",""More Vek surfacing soon, try and stop them in their tracks.""","""Block off these Vek before they surface!"",""More trouble's on the way, stop it if you can."",""We've got some more Vek emerging!"",""Another wave of Vek?"""
,Emerge_Success,Vek Emerges,"""Vek reinforcements just came up."", ""Got some more Vek on my sensors. Let's try and keep them under next time."", ""I've detected additional Vek, I hope you're in position.""","""Let's put this one back where it came from."", ""Another Vek just surfaced, watch out."", ""When will they stop emerging?""","""I'm putting each and every one of you back where you came from."", ""More Vek, here for the slaughter."", ""Hold the line, we can stick this out."", ""Additional Vek just surfaced, get ready to fight them.""","""The Vek are on the field."",  ""The Vek have arrived!"", ""More hostiles, be on guard.""","""They surfaced quite a bit faster than I anticipated."", ""Something is drawing the Vek to our position. We must force them back."", ""Even more Vek... How many more will come?""","""Vek just emerged!"", ""More Vek surfaced!"", ""Let's deal with this Vek quickly.""","""More Vek on our position."",""Eliminate these Vek quickly."",""Hostiles just arrived, check your surroundings."",""Watch out for those Vek.""","""We weren't able to stop the Vek from surfacing."",""We'll have to deal with these Vek swiftly."",""Now that they've arrived, we need to wipe these Vek out."",""Ensure you're not surrounded, more enemies just arrived!""","""Additional hostiles have arrived."",""Hostiles burrowed up, watch out."",""Watch for those Vek.""","""The Vek made it through. Don't let them escape."",""Deal with those Vek quickly."",""We've got additional Vek on the field now, careful.""","""Let's put this one back where it came from."", ""Another Vek just surfaced, watch out."", ""When will they stop emerging?""","""That's more Vek surfaced. More for us to kill."",""Ready or not, time to take on more Vek."",""Hope you were ready to take on even more Vek."""
,Emerge_FailedMech,Mech blocks Emerging Vek,"""Hnh.. This Vek isn't getting out."",  ""I-I've taken some damage, but the Vek is trapped underneath me."", ""G-give me a second to re-orient, I just blocked a Vek.""","""You're not coming up here."",  ""I've got a Vek under me, don't know how long it'll hold."", ""Pinned a Vek down!""","""You're not getting up here, not now."", ""Think you can get past me?"", ""Stay down there, damned bug."", ""Not moving if I can help it.""","""I've blocked this Vek from surfacing."",  ""There's a Vek underneath my mech."",  ""Stabilizers.. holding..""","""Vek underneath me. It can't surface, but it's definitely trying."",  ""This Vek is attempting to surface. I'm not letting it up!"", ""I've countered the Vek's momentum well, but I'm sustaining some damage.""","""Help me out, I'm not gonna be able to block this Vek forever!"",  ""I've got this Vek blocked off, but even more will come up soon.."", ""S-stay down there, Vek!""","""I've blocked off this Vek for now."",""Can't block this off forever."",""Blocked off a hostile.""","""Vek's trapped in the ground. Not a sustainable solution..."",""Mech stabilizers have this Vek in the ground."",""I've delayed this Vek from surfacing."",""My mech will need repairs after this.""","""Oof.. Help me out, I'm not gonna be able to block this Vek forever!"",  ""I've got this Vek blocked off, but even more will come up soon.."", ""S-stay down there, damned Vek!""","""Stay down there, Vek. You won't want to come up here."",""Hope that hurt the Vek as much as it hurt my mech."",""Stabilizers are managing to keep this Vek down.""","""Might as well tunnel back down."",""Vek won't get through at this rate."",""It's trying, I'll give it that.""","""Nice try, Vek, but I'm not moving if I can help it."",""I'll just sit here and administer my repairs."",""Burrow harder, Vek, won't do you any good!"""
,Emerge_FailedVek,Vek Block Emerging Vek,"""That Vek just blocked another one from coming up."",""Woah, that was vicious. I just felt that Vek trying to surface.""","""We've blocked off a Vek, nice work."",  ""Who knew the Vek would be so effective against itself?"", ""A Vek was just blocked from emerging.""","""Ha, we've blocked that Vek from surfacing. Nice work!"", ""That Vek just got blocked from surfacing by another Vek, keep it up."",","""Keep blocking the Vek, stop them from becoming a hazard."",  ""Blocking the Vek off with their own kind is surprisingly viable.""","""Are the Vek unable to stop surfacing when they start? Are they aware of what they damage?"", ""Looks like the Vek had too much momentum to stop!""","""That Vek was blocked off by another Vek!"", ""The Vek are really crawling over themselves to get to us.""","""Efficient. That'll stop them."",""Help these Vek destroy their own."",""Good. But there'll be more soon.""","""The Vek are piling over themselves to get to us. Excellent."",""Keeping that Vek obstructed is all that matters. This is just an added bonus."",""Couldn't think of a more sound solution."",""This should be standard procedure.""","""That Vek was blocked off by another Vek!"", ""The Vek are really crawling over themselves to get to us.""","""Crawling over themselves to arrive here, huh?"",""I suppose there's no better way to block off the Vek."",""Wasn't necessary to use the Vek for this, but it's good work all the same.""","""Look at those Vek tumbling over one another. Let's make sure this keeps happening."",""That Vek just got blocked off.. by another Vek?"",""Struggling to get to us due to one another, these Vek.""","""Vek won't be able to surface from underneath.. that other Vek!"",""I guess in this case, it was good to have a Vek above-ground."",""Great, that should keep that Vek underground for now."""
,,,,,,,,,,,,,,
Mech State,,,,,,,,,,,,,,
,Mech_LowHealth,Mech has 1 hp.,"""My sensors are going dim. I won't last much longer like this."",""I cannot recess yet."",""My tenure cannot end so soon, this timeline needs me alive."",""I mustn't fall yet, I need to stay alive for these people.""","""I.. may not be with you much longer, #squad."",  ""I have to keep fighting. It's not over yet."",""It's not my own life to throw away. I can't stop now.""","""You couldn't take me down if you tried, Vek."",  ""Just a scratch. Worry about your own damage first."", ""My hull's a little damaged, but it won't stop me."", ""Alright, you're gonna pay for that.""","""My hull integrity is critical. I can't fight if my mech is disabled."",  ""Back me up, my mech's taking a beating."",  ""I need support, my mech is critical!"",""My mech can take a beating, but this is too close for comfort.""","""My mech is taking too much damage, I'll need repairs soon!"", ""This battle needs to end soon, my hull won't sustain another impact!"",""If I take any more damage, my reactors will be threatened. That would be calamitous.""","""My mech! It won't last much longer, I need some help!"", ""I can't die now, I can't die now!"", ""Oh no.. everything's okay. Everything's okay.""","""I won't be able to take another hit."",""Take the lead, my mech is almost compromised."",""My hull won't last much longer.""","""Don't worry about me, commander. I've got these Vek right where I want them."",""Won't end as easily as you think, Vek."",""Not going down this quickly."",""I need my mech functional to command my squad.""","""My mech! It won't last much longer, I need some help!"", ""I can't die now, I can't die now!"", ""Oh no.. everything's okay. Everything's okay.""","""I can't let my mech fail in the middle of combat. Cover me."",""My mech's critical, I need a moment to repair."",""If I don't repair soon I'll be forced out of the action."",""I need a moment to rest and repair.""","""My mech won't last a whole lot longer, I need repairs."",""Give me a moment, I need to repair my mech"",""Mind covering for me? My mech's badly damaged.""","""I don't think I can take another hit!"",""If I take another hit, I think I'll be out for the count."",""Time for me to back up, before it's too late."""
,Mech_Webbed,Mech is webbed,"""My mech isn't responding, I'm afraid I've been webbed."",  ""I've been immobilised in web."", ""Unhand me, Vek, or I'll be freed by force."", ""My servos are seizing up, I think a Vek's grabbed me.""","""I can't move, I don't know if I can take this hit."",  ""My mech is locked up, I may need assistance."", ""I don't think I can move out of this web in time.""","""Think this'll slow me down? I'll show you something else."", ""Think that'll stop me? I'm coming for you next."", ""Thought you could web me, Vek?"", ""To think you could stop me, damned bug. I'll never slow down."", ""Vek just webbed me, it's got another thing coming."",""Alright, web me. I'll be here for the rest of your short life.""","""I've made a blunder, my mech's locked up in these webs."",  ""The enemy has immobilised my mech!"",  ""This Vek has trapped me in its webs!"",","""These webs are incredibly flexible and durable.. I'm unable to escape."", ""Some sort of adhesive... web. I'm trapped."", ""This web has trapped my movement. I can't escape."", ""I've been entrapped by web, my servos are locked.""","""Oh hell. The Vek's got me trapped!"", ""G-get this web off of me!"", ""I've.. been trapped in web! I can't back off!"", ""My mech.. I'm stuck in web! I can't get out!"",""Help, my mech is trapped by web!""","""I've been ensnared by this Vek."",""I'll need some time to escape this web."",""Hostile's got my mech in their trap."",""I'll be stuck in this position for a while.""","""Vek have immobilised my mech. I may require assistance getting out."",""You've webbed the wrong mech, scum."",""Think you can stop me, Vek? We'll see about that.""","""Oh hell. The Vek's got me trapped!"", ""G-get this web off of me!"", ""I've.. been trapped in web! I can't back off!"", ""My mech.. I'm stuck in web! I can't get out!"",""Help, my mech is trapped by web!""","""This Vek has me webbed up completely."",""I won't be able to free myself without some action."",""I could do with some assistance getting out of this web.""","""This mech is quite resilient against the elements, but not against webbing."",""Webs aren't something this mech was designed to counter."",""I'm stuck in this web. I.. don't think I can escape quick enough.""","""Wasn't fast enough to dodge that web!"",""I'll be webbed until something gets this Vek out of the way."",""I'd better deal with this web before my mech is hit."""
,Mech_Shielded,Mech is shielded,"""Sensors dimming... That means a shield's up."",  ""Don't make me stay under this thing forever.""","""Shields full. It'll last one hit, small or big."", ""Shield activated, I'll put it to use."", ""Shield's engaged. It'll take a hit, but that goes a long way.""","""Shield acquired. Watch and learn."", ""Wish I could hand these out, but I'll make good use of it."", ""I'll take your shield and do you one better, Zenith."",""I'm not scared of taking a beating. This only lets me take on more.""","""This shield'll protect my mech from an attack."",  ""Let me use this shield to waste a Vek attack."",  ""Mech shield is at full capacity.""","""I estimate my shields at full will take a single blow, but without damage to the mech itself."", ""The reactive kinetic force this shield exerts... Amazing, useful technology."",","""Ah, a shield. This'll keep me safe a little longer."", ""I feel.. safer, with this shield."", ""Shields up. This'll give me a bit of security, for a while.""","""Save the shield for someone who needs it."",""Prioritize shielding our civilians."",""We shouldn't rely on these.""","""Shield would be more valuable elsewhere."",""At the very least this shield will let me weather the elements."",""Shield's at full. I'll put it to use.""","""Ah, a shield. This'll keep me safe a little longer."", ""I feel.. safer, with this shield."", ""Shields up. This'll give me a bit of security, for a while.""","""Mech shield is engaged."",""Mech's shielded, I'm ready to take the offense."",""I'll be able to extend myself further with this shield.""","""Got a shield, excellent."",""Shields like these are vital for protecting our monitoring equipment."",""You'd be surprised how resilient these shields can be, if it's not physical trauma.""","""Shield's acquired, time for something wild!"",""Let's see what I can do with this shield."",""Shield's at full, this'll be useful."""
,Mech_Repaired,Mech uses repair.,"""I've reinforced the usual spots, hopefully it'll hold."", ""I've repaired to the best of my ability."",""This'll keep my mech in the action, but only just."",""It'll need repairs from someone who can actually see the damage later.""","""There, that should keep you in longer."",""Nanomachines, son."",""I think you'll find your mech in much better condition now.""","""That'll keep me in a good while longer."",""This'll do for now."",""Anything that keeps me in the fight.""","""A mechanic needs to look at this later."",  ""I'm not in my prime anymore, these repairs won't be perfect."",  ""#self_mech's hull restored to an acceptable integrity.""","""Repairs finished, that should keep the damage at bay."", ""Not a comprehensive job, I haven't worked on one of these in a while."", ""Repairs complete.. or as complete as I can get them in the moment."", ""Conducting repairs, please keep my mech safe.""","""My mech'll hold up a bit longer now."",  ""My mech isn't quite as badly damaged anymore, but it's still bruised."",  ""These repairs should hold for now."", ""I think this should be enough to last the rest of the battle."",""If I'm smart with the hits I take, I won't need to repair again.""","""Took the shot."",""Vek won't recover from that so easily.""","""I'm no expert at repair, but this will do for now."",""I'll need an actual mechanic to take a look after the battle."",""Mech isn't critical anymore. This will serve.""","""My mech'll hold up a bit longer now."",  ""My mech isn't quite as badly damaged anymore, but it's still bruised."",  ""These repairs should hold for now."", ""I think this should be enough to last the rest of the battle."",""If I'm smart with the hits I take, I won't need to repair again.""","""I'm surprised how much I was able to repair.. though it's still not a whole lot."",""Mech should be in stable condition now."",""Had to step away for a while, but now I'm ready  for action.""","""Let's see how these repairs hold."",""I'm not that bad of mechanic, you know."",""This should keep my mech in a little longer.""","""Shame I can't do these repairs for everyone."",""Old Earth machine, giant future robot, same deal really."",""See any giant screws lying around? Might have dropped one or two."""
